state,district,pincode,enrol_0_5,enrol_5_17,enrol_18_plus,total_bio,total_demo,total_enrol,total_updates,update_intensity,child_share,migration_score,cluster
100000,100000,2200000.0,0.0,1.0,217.0,0.0,2.0,218.0,2.0,0.0091324200913242,0.0045662100456621,2.0,0
Andaman & Nicobar Islands,Andamans,49855581.0,70.0,5.0,0.0,2015.0,750.0,75.0,2765.0,36.38157894736842,0.9868421052631579,0.37202380952380953,1
Andaman & Nicobar Islands,Nicobars,744301.0,1.0,0.0,0.0,2.0,4.0,1.0,6.0,3.0,0.5,1.3333333333333333,0
Andaman & Nicobar Islands,South Andaman,26044471.0,38.0,0.0,0.0,367.0,305.0,38.0,672.0,17.23076923076923,0.9743589743589743,0.8288043478260869,1
Andaman and Nicobar Islands,Nicobar,28283452.0,64.0,11.0,0.0,1811.0,787.0,75.0,2598.0,34.18421052631579,0.9868421052631579,0.43432671081677704,1
Andaman and Nicobar Islands,North And Middle Andaman,73676202.0,128.0,4.0,0.0,6383.0,2009.0,132.0,8392.0,63.097744360902254,0.9924812030075187,0.31469298245614036,1
Andaman and Nicobar Islands,South Andaman,113107158.0,178.0,12.0,0.0,10120.0,3391.0,190.0,13511.0,70.73821989528795,0.9947643979057592,0.33504594407667226,1
Andhra Pradesh,Adilabad,438690754.0,1137.0,281.0,1.0,52038.0,29291.0,1419.0,81329.0,57.27394366197183,0.9985915492957746,0.5628663118046081,1
Andhra Pradesh,Alluri Sitharama Raju,392767400.0,1105.0,116.0,34.0,18607.0,12871.0,1255.0,31478.0,25.062101910828027,0.9721337579617835,0.6916917454858126,1
Andhra Pradesh,Anakapalli,235252713.0,523.0,12.0,8.0,6723.0,13460.0,543.0,20183.0,37.10110294117647,0.9834558823529411,2.0017846519928613,1
Andhra Pradesh,Anantapur,1324897727.0,4089.0,326.0,0.0,93565.0,68745.0,4415.0,162310.0,36.75498188405797,0.9997735507246377,0.7347220144069427,1
Andhra Pradesh,Ananthapur,732576465.0,1843.0,151.0,0.0,84132.0,30026.0,1994.0,114158.0,57.22205513784461,0.9994987468671679,0.3568873093791972,1
Andhra Pradesh,Ananthapuramu,1014056229.0,3018.0,159.0,10.0,109602.0,55944.0,3187.0,165546.0,51.92785445420326,0.9965495608531995,0.5104239847449431,1
Andhra Pradesh,Annamayya,362228863.0,868.0,48.0,105.0,9712.0,33634.0,1021.0,43346.0,42.41291585127202,0.8962818003913894,3.462781838772779,1
Andhra Pradesh,Bapatla,216393948.0,421.0,55.0,16.0,5982.0,13514.0,492.0,19496.0,39.545638945233264,0.9655172413793104,2.2587330770516463,1
Andhra Pradesh,Chittoor,1868460954.0,7493.0,659.0,43.0,251405.0,169579.0,8195.0,420984.0,51.364568081991216,0.9946315275744265,0.6745224855413157,1
Andhra Pradesh,Cuddapah,1461508808.0,5519.0,413.0,2.0,170796.0,83667.0,5934.0,254463.0,42.87497893850042,0.9994945240101095,0.48986223411418234,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,299155151.0,618.0,30.0,17.0,7306.0,14156.0,665.0,21462.0,32.22522522522522,0.972972972972973,1.9373203777199945,1
Andhra Pradesh,East Godavari,2264883422.0,7161.0,507.0,10.0,301850.0,156025.0,7678.0,457875.0,59.62690454486261,0.998567521812736,0.5168940967563467,1
Andhra Pradesh,Eluru,277599615.0,568.0,45.0,16.0,8230.0,17584.0,629.0,25814.0,40.974603174603175,0.973015873015873,2.1363139351233142,1
Andhra Pradesh,Guntur,2165102958.0,8769.0,925.0,35.0,291694.0,177221.0,9729.0,468915.0,48.19270298047277,0.9963001027749229,0.6075558374329351,1
